batch,accuracy,f1,auc
157,1.0,1.0,1.0
158,1.0,1.0,1.0
159,0.92,0.9166666666666666,0.9285714285714285
160,1.0,1.0,1.0
161,0.92,0.9,0.9675324675324676
162,1.0,1.0,1.0
163,1.0,1.0,1.0
164,1.0,1.0,1.0
165,0.92,0.9166666666666666,0.9871794871794871
166,1.0,1.0,1.0
167,0.96,0.9523809523809523,1.0
168,1.0,1.0,1.0
169,0.88,0.8,0.8970588235294117
170,0.96,0.9473684210526315,1.0
171,0.96,0.9629629629629629,0.9583333333333333
172,0.92,0.8571428571428571,0.992063492063492
173,1.0,1.0,1.0
174,1.0,1.0,1.0
175,1.0,1.0,1.0
176,1.0,1.0,1.0
177,0.96,0.96,1.0
178,0.92,0.9166666666666666,0.9642857142857143
179,1.0,1.0,1.0
180,0.96,0.9411764705882353,0.9669117647058824
181,1.0,1.0,1.0
182,0.96,0.9655172413793104,1.0
183,0.92,0.875,0.9779411764705882
184,0.92,0.9166666666666666,0.9198717948717948
185,0.96,0.9696969696969697,0.9930555555555556
186,0.88,0.8235294117647058,0.9513888888888888
187,1.0,1.0,1.0
188,0.96,0.9473684210526315,0.9333333333333333
189,0.96,0.9411764705882353,0.9930555555555556
190,1.0,1.0,1.0
191,1.0,1.0,1.0
192,0.96,0.9473684210526315,0.96875
193,0.96,0.9473684210526315,1.0
194,0.92,0.9230769230769231,0.974025974025974
195,1.0,1.0,1.0
196,0.88,0.8571428571428571,0.9448051948051948
197,0.92,0.9230769230769231,0.9805194805194805
198,1.0,1.0,1.0
199,1.0,1.0,1.0
200,0.92,0.9230769230769231,0.9807692307692307
201,0.96,0.9629629629629629,1.0
202,0.92,0.9090909090909091,0.9615384615384616
203,1.0,1.0,1.0
204,1.0,1.0,1.0
205,1.0,1.0,1.0
206,0.96,0.96,1.0
207,0.96,0.9565217391304348,0.9642857142857143
208,1.0,1.0,1.0
209,0.92,0.9375,0.9632352941176471
210,1.0,1.0,1.0
211,0.96,0.9473684210526315,0.96875
212,0.96,0.9473684210526315,1.0
213,1.0,1.0,1.0
214,1.0,1.0,1.0
215,1.0,1.0,1.0
216,1.0,1.0,1.0
